Ut Maykha Travel & Tour Company Limited|ယူတီမေခ ထရပ်ဗဲလ် အဲန် တိုး ကုမ္ပဏီ လီမိတက်|860/2017-2018(npw)|06-07-2022||
Ut Yangon Travel & Tour Company Limited.|ယူတီ ရန်ကုန် ထရပ်ဗဲလ်အဲန်တိုး ကုမ္ပဏီလီမိတက်|839/2017-2018(npw)|06-07-2022||
Cho Yangon Travel & Tour Company Limited.|ချို ရန်ကုန် ထရပ်ဗဲလ်အဲန်တိုး ကုမ္ပဏီလီမိတက်|832/2017-2018(npw)|06-07-2022||
Cho Thaninthary Travel & Tour Company Limited|ချို တနင်္သာရီ ထရပ်ဗဲလ် အဲန်တိုး ကုမ္ပဏီ လီမိတက်|821/2017-2018(npw)|06-07-2022||
Cho Ayeyawaddy Travel & Tour Company Limited.|ချို ဧရာဝတီ ထရပ်ဗဲလ်အဲန်တိုး ကုမ္ပဏီလီမိတက်|848/2017-2018(npw)|06-07-2022||
Ut Thaninthary Travel & Tour Company Limited.|ယူတီ တနင်္သာရီ ထရပ်ဗဲလ် အဲန်တိုး ကုမ္ပဏီလီမိတက်|836/2017-2018(npw)|06-07-2022||
Bala Yarzar Travel & Tour Company Limited|ဗလရာဇာ ထရားဗဲ(လ်) အင်(န်) တိုး ကုမ္ပဏီ လီမိတက်|2422/2017-2018(ygn)|10-08-2022||
Forever Eight Tourism Company Limited|ဖော်အဲဗား အိပ်(ချ်) တိုရစ်ဆင် ကုမ္ပဏီ လီမိတက်|2369/2017-2018(ygn)|08-08-2022||
Yangon Tour Travels & Tours Company Limited|ရန်ကုန် ခရီးစဉ် ခရီးသွား ကုမ္ပဏီလီမိတက်|763/2003- 2004|11-12-2019||
Ko Albert Travel & Tour Company Limited|ကို အဲလ်ဘတ် ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|789/2017-2018(npw)|05-07-2022||
Ut Thanlwin Travel & Tour Company Limited|ယူတီ သံလွင် ထရပ်ဗဲလ် အဲန် တိုး ကုမ္ပဏီ လီမိတက်|805/2017-2018(npw)|05-07-2022||
